"Headline","Bias","Reliability"
"Exclusive: Study finds pregnancy-related health care coverage varies widely from state to state","-6.33","45.67"
"Biden’s first 100 days: How diverse is the administration?","-9.67","43.67"
"How COVID-19 has endangered gender equity worldwide","-7","44.33"
"Inside the Lincoln Project’s ‘toxic’ workplace","-0.33","57"
"Pregnant health care workers could get Pfizer vaccine after FDA emergency authorization","-0.67","44.67"
"Biden under pressure to appoint first Native American to head Interior Department","-6","45.67"
"Shirley Sherrod holds 'no ill will' against USDA nominee who ousted her","-10","46"
"Kamala Harris is a complicated choice for LGBTQ+ people","-10","45.67"
"The spread of conspiracies and disinformation by women on social media","-4.83","47"
"Karen Bass addresses the question of filling Kamala Harris’ Senate seat","-6","44.83"
"Kim Ng becomes the MLB's first female general manager","-3.83","47.5"
"‘We’ve worked for it’: Barbara Lee on the future of Black women in leadership","-11.33","40"
"Pregnant people excluded from Moderna, Pfizer COVID-19 vaccine trials","-3.33","43.67"
"Study finds spike in suicidal thoughts, self-harm during and after pregnancy","-7","44"
"DNC largely ignores suffrage centennial","-14","47.33"
"Kamala Harris brings history, identity to her convention night closeup","-10.67","47.33"
"Elizabeth Warren put child care front and center at the DNC","-15.33","38"
"‘We’ versus ‘Me’: Suffrage centennial exposes vote gap in Black and White women","-19.33","28.67"
"The consequential, evolving role of Black sororities in suffrage","-8.67","41.67"
"Jenner: No to 'Biological Boys Who Are Trans' Playing on Girls' Teams","-19","32.33"
"Homophobe Scott Lively: Trump Was Too Pro-Gay, So God Let Him Lose","-8.33","38.33"
"Gay 'Former Liberal' Arrested for 'Disorderly Conduct' at Capitol Riot","-6","43"
"Gay Republican Richard Grenell: Trump to Seek Presidency Again","-7","43"
"South Dakota Republicans Revive Anti-Trans Birth Certificate Bill","-9.67","44.67"
"COVID-19 Fells Beloved LGBTQ+ Activist Carmen Vázquez","-2.33","40"
"Rufus Gifford, Biden's Out State Dept. Star, on Restoring America","-13","35.33"
"Big Gay Ice Cream Shutters for Good in the East Village and Philly","-2","44.67"
"Chipotle to Papa John's: 60 Corps That Improved LGBTQ Policies in 2020","-7.33","44"
"Pennsylvania’s Dapper Lieutenant Governor and His Gay Flag Battle","-10.67","38.33"
"Tulsi Gabbard Sponsors Anti-Trans Bill on Way Out of Congress","-11.75","38.5"
"Out Rep. Demands End to Medicaid Funding for Conversion Therapy","-12.67","44.67"
