"Source","Bias","Reliability"
"19th News","Bias: -10.09","Reliability: 44.35"
"ABC News","Bias: -4.87","Reliability: 47.50"
"Advocate","Bias: -16.68","Reliability: 36.79"
"Agence France-Presse","Bias: -2.07","Reliability: 48.07"
"Al Jazeera","Bias: -6.70","Reliability: 44.75"
"AL.com","Bias: -1.34","Reliability: 46.29"
"AlterNet","Bias: -19.32","Reliability: 23.60"
"American Greatness","Bias: 23.36","Reliability: 19.16"
"American Independent","Bias: -16.25","Reliability: 36.72"
"American Thinker","Bias: 23.63","Reliability: 19.77"
"AP","Bias: -2.23","Reliability: 50.67"
"Arizona Daily Star","Bias: -2.07","Reliability: 45.91"
"Army Times","Bias: 0.36","Reliability: 48.09"
"ARS Technica","Bias: -2.11","Reliability: 46.31"
"Aspen Times","Bias: -0.31","Reliability: 46.38"
"Atlanta Black Star","Bias: -5.19","Reliability: 45.68"
"Atlanta Journal-Constitution","Bias: -3.49","Reliability: 44.92"
"Axios","Bias: -7.06","Reliability: 46.33"
"AZ Central","Bias: -5.22","Reliability: 45.00"
"Baltimore Sun","Bias: -6.26","Reliability: 45.56"
"BBC","Bias: -3.15","Reliability: 47.42"
"Bearing Arms","Bias: 19.77","Reliability: 25.95"
"Before It’s News","Bias: 30.88","Reliability: 4.69"
"Big League Politics","Bias: 24.96","Reliability: 18.25"
"Bill O’Reilly","Bias: 25.55","Reliability: 21.72"
"Billboard","Bias: -2.35","Reliability: 41.27"
"Bipartisan Report","Bias: -23.51","Reliability: 20.15"
"Bloomberg Government","Bias: -5.37","Reliability: 47.17"
"Bloomberg News","Bias: -2.88","Reliability: 46.35"
"Boston Globe","Bias: -9.88","Reliability: 45.40"
"Boston Herald","Bias: 10.50","Reliability: 43.11"
"Breitbart","Bias: 18.24","Reliability: 30.78"
"Business Insider","Bias: -6.92","Reliability: 43.10"
"BuzzFeed News","Bias: -8.44","Reliability: 43.80"
"Cato Institute","Bias: 5.19","Reliability: 41.17"
"CBS News","Bias: -3.63","Reliability: 48.56"
"CFO","Bias: -0.02","Reliability: 47.67"
"Charleston Gazette-Mail","Bias: -2.11","Reliability: 46.00"
"Chicago Sun-Times","Bias: -4.49","Reliability: 47.97"
"Chicago Tribune","Bias: -3.32","Reliability: 46.42"
"Chicks on the Right","Bias: 19.74","Reliability: 23.29"
"Christian Broadcasting Network","Bias: 15.57","Reliability: 34.36"
"Christian Science Monitor","Bias: 0.98","Reliability: 45.68"
"Christianity Today","Bias: 8.24","Reliability: 44.88"
"Cleveland.com","Bias: -0.67","Reliability: 46.85"
"CNBC","Bias: -2.21","Reliability: 47.13"
"CNET","Bias: -0.72","Reliability: 46.64"
"CNN","Bias: -8.80","Reliability: 43.75"
"Colorado Daily","Bias: -2.44","Reliability: 45.38"
"Comic Sands","Bias: -9.21","Reliability: 31.99"
"Common Dreams","Bias: -17.66","Reliability: 40.06"
"Conservative Review","Bias: 21.60","Reliability: 21.19"
"Consortium News","Bias: -19.09","Reliability: 27.01"
"Cosmopolitan","Bias: -13.20","Reliability: 28.91"
"CounterPunch","Bias: -19.96","Reliability: 33.24"
"Crooks and Liars","Bias: -22.53","Reliability: 25.39"
"Current Affairs","Bias: -18.14","Reliability: 33.94"
"Daily Beast","Bias: -15.81","Reliability: 35.80"
"Daily Caller","Bias: 14.17","Reliability: 31.76"
"Daily Dot","Bias: -13.53","Reliability: 36.99"
"Daily Kos","Bias: -20.14","Reliability: 27.66"
"Daily Mail","Bias: 2.16","Reliability: 31.08"
"Daily Signal","Bias: 18.66","Reliability: 28.30"
"Daily Torch","Bias: 19.80","Reliability: 18.06"
"Daily Wire","Bias: 17.91","Reliability: 27.69"
"Dallas Morning News","Bias: -2.26","Reliability: 44.46"
"Deadline","Bias: -11.33","Reliability: 40.46"
"Defense News","Bias: 2.80","Reliability: 44.78"
"Democracy Now","Bias: -15.71","Reliability: 34.75"
"Denver Post","Bias: -1.01","Reliability: 48.28"
"Deseret News","Bias: 1.49","Reliability: 44.80"
"Detroit Free Press","Bias: -6.25","Reliability: 47.57"
"Detroit News","Bias: -0.63","Reliability: 46.94"
"Engadget","Bias: -1.91","Reliability: 45.03"
"Epoch Times","Bias: 22.14","Reliability: 20.03"
"FAIR","Bias: -17.95","Reliability: 34.24"
"Fair Observer","Bias: -12.57","Reliability: 37.04"
"Financial Buzz","Bias: 0.08","Reliability: 46.68"
"Financial Times","Bias: -4.32","Reliability: 45.40"
"Fiscal Times","Bias: 2.31","Reliability: 43.58"
"FiveThirtyEight","Bias: -6.98","Reliability: 44.27"
"Forbes","Bias: -3.74","Reliability: 43.39"
"Foreign Affairs","Bias: -6.02","Reliability: 44.69"
"Foreign Policy","Bias: -2.06","Reliability: 42.99"
"Fortune","Bias: -0.31","Reliability: 44.56"
"Forward","Bias: -8.42","Reliability: 39.56"
"Fox News","Bias: 16.55","Reliability: 33.56"
"FreeSpeech TV","Bias: -22.26","Reliability: 26.55"
"Glamour","Bias: -9.10","Reliability: 36.77"
